Aagaard, Jacob|Jacob_Aagaard
Bogoljubov, Efim|Efim_Bogoljubov
Bohatyrchuk, Fedor Parfenovicc|F%C3%ABdor_Parfenovi%C4%8D_Bohatyr%C4%8Duk
Boi, Paolo|Paolo_Boi
Bologan, Viktor|Viktor_Bologan
Bona, Gio Leonardo Di|Giò_Leonardo_Di_Bona
Borisenko, Valentina Michajlovna|Valentina_Michajlovna_Borisenko
Botvinnik, Mikhail|Mikhail_Botvinnik
Bourdonnais, Louis-Charles de la|Louis-Charles_de_la_Bourdonnais
Boutteville, Cesar|César_Boutteville
Braga, Fernando|Fernando_Braga
Bronstein, David|David_Bronstein
Browne, Walter|Walter_Browne
Brunello, Marina|Marina_Brunello
Brunello, Sabino|Sabino_Brunello
Bruzon, Lazaro|Lázaro_Bruzón
Burmakin, Vladimir|Vladimir_Burmakin
Burn, Amos|Amos_Burn
Busetto, Edoino|Edoino_Busetto
Butnorius, Algimantas|Algimantas_Butnorius
Buzzecca|Buzzecca
Byrne, Robert|Robert_Byrne
Böök, Eero|Eero_Böök
Cala, Ugo|Ugo_Calà
Calapso, Remo|Remo_Calapso
Calvi, Ignazio|Ignazio_Calvi
Campo, Achille|Achille_Campo
Campomanes, Florencio|Florencio_Campomanes
Canal, Esteban|Esteban_Canal
Cancelliere, Giuseppe|Giuseppe_Cancelliere
Cangiotti, Claudio|Claudio_Cangiotti
Capablanca, Jose Raul|José_Raúl_Capablanca
Cappello, Guido|Guido_Cappello
Carlsen, Magnus|Magnus_Carlsen
Caro, Horatio|Horatio_Caro
Carrera, Pietro|Pietro_Carrera
Caruana, Fabiano|Fabiano_Caruana
Castaldi, Vincenzo|Vincenzo_Castaldi
Castiglioni, Ferruccio|Ferruccio_Castiglioni
Cebalo, Miso|Mi%C5%A1o_Cebalo
Ceriani, Luigi|Luigi_Ceriani
Ceron, Alfonso|Alfonso_Ceron
Cesetti, Claudio|Claudio_Cesetti
Chao, Li|Li_Chao
Chekhover, Vitaly|Vitalij_Aleksandrovi%C4%8D_%C4%8Cechover
Chen, Zhu|Zhu_Chen
Cheparinov, Ivan|Ivan_Cheparinov
Cheron, Andre|Andr%C3%A9_Ch%C3%A9ron
Cheron, Andre|André_Chéron
Chiburdanidze, Maia|Majja_%C4%8Ciburdanidze
Chicco, Adriano|Adriano_Chicco
Christiansen, Larry|Larry_Christiansen
Ciocâltea, Victor|Victor_Ciocâltea
Cohn, Erich|Erich_Cohn
Colle, Edgar|Edgar_Colle
Conquest, Stuart|Stuart_Conquest
Contedini, Ennio|Ennio_Contedini
Cordel, Oskar|Oskar_Cordel
Corke, Anya|Anya_Corke
Corzo, Juan|Juan_Corzo
Cosulich, Roberto|Roberto_Cosulich
Cozio, Carlo|Carlo_Cozio
Cramling, Pia|Pia_Cramling
Crespi, Edoardo|Edoardo_Crespi
Crowley, Aleister|Aleister_Crowley
Cucelov, Vladimir|Vladimir_%C4%8Cu%C4%8Delov
D'Amore, Carlo|Carlo_D'Amore
Dake, Arthur William|Arthur_William_Dake
Damiano, Pedro|Pedro_Damiano
Danielsson, Goesta|G%C3%B6sta_Danielsson
David, Giampiero|Giampiero_David
Delchev, Aleksander|Aleksandr_Del%C4%8Dev
Denker, Arnold|Arnold_Denker
Dervishi, Erald|Erald_Dervishi
Deschapelles, Alexandre|Alexandre_Deschapelles
Dmitrij Olegovic Jakovenko|Dmitrij_Olegovi%C4%8D_Jakovenko
Domínguez, Leinier|Leinier_Domínguez
Donner, Jan Hein|Jan_Hein_Donner
Dorfman, Iosif Davidovic|Iosif_Davidovi%C4%8D_Dorfman
Dubois, Serafino|Serafino_Dubois
Duca, Giuseppe La|Giuseppe_La_Duca
Duchamp, Marcel|Marcel_Duchamp
Dufresne, Jean|Jean_Dufresne
Duras, Oldrich|Old%C5%99ich_Duras
Dzagnidze, Nana|Nana_Dzagnidze
Dzindzichashvili, Roman|Roman_Dzindzichashvili
Dzobava, Baadur|Baadur_D%C5%BEobava
Dückstein, Andreas|Andreas_Dückstein
Efimov, Igor|Igor_Efimov
Eliskases, Erich|Erich_Eliskases
Elo, Arpad Emrick|Arpad_Emrick_Elo
Ermenkov, Evgenij|Evgenij_Ermenkov
Eslon, Jaan|Jaan_Eslon
Euwe, Max|Max_Euwe
Evans, Larry|Larry_Evans
Evans, William Davies|William_Davies_Evans
Falkbeer, Ernst|Ernst_Falkbeer
Ferrantes, Giovanni|Giovanni_Ferrantes
Filip, Miroslav|Miroslav_Filip
Fine, Reuben|Reuben_Fine
Fiore, Ignazio|Ignazio_Fiore
Firmian, Nick de|Nick_de_Firmian
Fischer, Bobby|Bobby_Fischer
Flohr, Salo|Salo_Flohr
Fressinet, Laurent|Laurent_Fressinet
Fritz, Alexander|Alexander_Fritz
Ftacnik, Lubomir|%C4%BDubom%C3%ADr_Ft%C3%A1%C4%8Dnik
Ftacnik, Lubomír|%C4%BDubom%C3%ADr_Ft%C3%A1%C4%8Dnik
Gallagher, Joseph|Joseph_Gallagher
Galway, Albéric O'Kelly de|Albéric_O'Kelly_de_Galway
Ganguly, Surya Shekhar|Surya_Shekhar_Ganguly
Garri Kimovic Kasparov|Garri_Kimovi%C4%8D_Kasparov
Gashimov, Vugar|Vugar_Ga%C5%A1imov
Gavrikov, Viktor|Viktor_Gavrikov
Gelfand, Boris|Boris_Gelfand
Geller, Efim|Efim_Geller
Georgiev, Kiril|Kiril_Georgiev
Gheorghiu, Florin|Florin_Gheorghiu
Giovanni da Cutro, Leonardo|Gi%C3%B2_Leonardo_Di_Bona
Giri, Anish|Anish_Giri
Giusti, Angelo|Angelo_Giusti
Giustolisi, Alberto|Alberto_Giustolisi
Gladig, Matteo|Matteo_Gladig
Glek, Igor|Igor_Glek
Gligoric, Svetozar|Svetozar_Gligori%C4%87
Godena, Michele|Michele_Godena
Goi, Veronika|Veronika_Goi
Golmayo, Manuel|Manuel_Golmayo_de_la_Torriente
Golombek, Harry|Harry_Golombek
Graf, Alexander|Alexander_Graf
Graf, Sonja|Sonja_Graf
Gramignani, Rita|Rita_Gramignani
Grant, Ketevan Arakhamia|Ketevan_Arakhamia_Grant
Grau, Roberto|Roberto_Grau_(scacchista)
Greco, Gioacchino|Gioacchino_Greco
Greco, Gioachino|Gioachino_Greco
Grefe, John|John_Grefe
Grünfeld, Ernst|Ernst_Grünfeld
Gulko, Boris F|Boris_Francevi%C4%8D_Gul%27ko
Gunsberg, Isidor|Isidor_Gunsberg
Gurevich, Michail Naumovic|Michail_Naumovi%C4%8D_Gurevi%C4%8D
Gurevich, Mikhail|Michail_Naumovi%C4%8D_Gurevi%C4%8D
Haidary, Hameedullah|Hameedullah_Haidary
Hammer, Jon Ludvig|Jon_Ludvig_Hammer
Hamppe, Carl|Carl_Hamppe
Harikrishna, Pentala|Pentala_Harikrishna
Harmonist, Max|Max_Harmonist
Harrwitz, Daniel|Daniel_Harrwitz
Heijden, Harold van der|Harold_van_der_Heijden
Herrera, Irisberto|Irisberto_Herrera
Hodges, Albert|Albert_Hodges
Hodgson, Julian|Julian_Hodgson
Horowitz, Al|Al_Horowitz
Hort, Vlastimil|Vlastimil_Hort
Horwitz, Bernhard|Bernhard_Horwitz
Howell, David|David_Howell
Hua, Ni|Ni_Hua
Huebner, Robert|Robert_H%C3%BCbner
Hyatt, Robert|Robert_Hyatt
Il'ja Abramovic Kan|Il%27ja_Abramovi%C4%8D_Kan
Illescas, Miguel|Miguel_Illescas
Inarkiev, Ernesto|Ernesto_Inarkiev
Iordachescu, Viorel|Viorel_Iord%C4%83chescu
Ioseliani, Nana|Nana_Ioseliani
Ivanchuk, Vassilij|Vassilij_Ivanchuk
Ivkov, Borislav|Borislav_Ivkov
Janowski, David|David_Janowski
Jermolinskij, Aleksej|Aleksej_Jermolinskij
Jianchao, Zhou|Zhou_Jianchao
Jiangchuan, Ye|Ye_Jiangchuan
John W.Collins, |_Collins
Johner, Hans|Hans_Johner
Johner, Paul|Paul_Johner
Judasin, Leonid Grigor'evic|Leonid_Grigor%27evi%C4%8D_Judasin
Judd, Max|Max_Judd
Jun, Xie|Xie_Jun
Jun, Xu|Xu_Jun
Jusupov, Artur|Artur_Jusupov
Jänisch, Carl|Carl_J%C3%A4nisch
Jänisch, Carl|Carl_Jänisch
Kajdanov, Grigorij|Grigorij_Kajdanov
Kamskij, Gata|Gata_Kamskij
Kann, Marcus|Marcus_Kann
Karjakin, Sergey|Sergey_Karjakin
Karpov, Anatoly|Anatolij_Karpov
Kashdan, Isaac|Isaac_Kashdan
Kasparjan, Genrich|Genrich_Kasparjan
Kasparov, Garri Kimovic|Garri_Kimovi%C4%8D_Kasparov
Kasparov, Garry|Garry_Kasparov
Kavalek, Lubomir|Lubomir_Kavalek
Keres, Paul|Paul_Keres
Kermeur, Legall de|Legall_de_Kermeur
Khan, Mir Sultan|Mir_Sultan_Khan
Kieseritzky, Lionel|Lionel_Kieseritzky
Kirsan Nikolaevic Iljumzinov|Kirsan_Nikolaevi%C4%8D_Iljum%C5%BEinov
Kmoch, Hans|Hans_Kmoch
Kolisch, Ignatz von|Ignatz_von_Kolisch
Koltanowski, George|George_Koltanowski
Koneru, Humpy|Humpy_Koneru
Konstantinovna Kostenjuk, Aleksandra|Aleksandra_Konstantinovna_Kostenjuk
Korchnoi, Viktor|Viktor_L%27vovi%C4%8D_Kor%C4%8Dnoj
Kosinceva, Tat'jana Anatol'evna|Tat%27jana_Anatol%27evna_Kosinceva
Kosten, Anthony|Anthony_Kosten
Kostic, Boris|Boris_Kosti%C4%87
Kouatly, Bachar|Bachar_Kouatly
Kramnik, Vladimir|Vladimir_Kramnik
Krasenkow, Micha|Micha_Krasenkow
Krejcik, Josef|Josef_Krejcik
Krush, Irina|Irina_Krush
Kuligowski, Adam|Adam_Kuligowski
Kurajica, Bojan|Bojan_Kurajica
Kusnir, Alla|Alla_Ku%C5%A1nir
Lancia, Ugo|Ugo_Lancia
Landa, Konstantin|Konstantin_Landa
Lange, Max|Max_Lange
Lanza, Anton Mario|Anton_Mario_Lanza
Lanzani, Mario|Mario_Lanzani
Larsen, Bent|Bent_Larsen
Lasa, Tassilo von der|Tassilo_von_der_Lasa
Lasker, Edward|Edward_Lasker
Lasker, Emanuel|Emanuel_Lasker
Lautier, Joel|Joël_Lautier
Lazarevic, Milunka|Milunka_Lazarevi%C4%87
Laznicka, Viktor|Viktor_L%C3%A1zni%C4%8Dka
Leko, Peter|Peter_Leko
Leonid Ivanovic Kubbel'|Leonid_Ivanovi%C4%8D_Kubbel%27
Levitina, Irina|Irina_Levitina
Lilloni, Luciano|Luciano_Lilloni
Lipschuetz, Samuel|Samuel_Lipsch%C3%BCtz
Liren, Ding|Ding_Liren
Ljubojevic, Ljubomir|Ljubomir_Ljubojevi%C4%87
Lodi, Geremia|Geremia_Lodi
Lolli, Giambattista|Giambattista_Lolli
Lombardy, William|William_Lombardy
Lopez de Segura, Ruy|Ruy_L%C3%B3pez_de_Segura
Loyd, Samuel|Samuel_Loyd
Lputjan, Smbat|Smbat_Lputjan
Lucena, Luis|Luis_Ramirez_Lucena
Lundin, Erik|Erik_Lundin
Löwenthal, Johann|Johann_Löwenthal
MacDonnell, Alexander|Alexander_MacDonnell
Macieja, Bartomiej|Bartomiej_Macieja
Mackenzie, George Henry|George_Henry_Mackenzie
Macleod, Norman|Norman_Macleod
Maghami, Ehsan Ghaem|Ehsan_Ghaem_Maghami
Mamed'jarov, Sachrijar|%C5%A0achrijar_Mamed%27jarov
Mamedov, Rauf|Rauf_Mamedov
Manca, Federico|Federico_Manca
Marco, Georg|Georg_Marco
Marin, Mihail|Mihail_Marin
Mariotti, Sergio|Sergio_Mariotti
Marotti, Davide|Davide_Marotti
Marshall, Frank James|Frank_James_Marshall
Martinolich, Giovanni|Giovanni_Martinolich
Mason, James|James_Mason_(scacchista)
Matanovic, Aleksandar|Aleksandar_Matanovi%C4%87
Matisons, Hermanis|Hermanis_Matisons
Matulovic, Milan|Milan_Matulovi%C4%87
Mayet, Karl|Karl_Mayet
Mecking, Henrique da Costa|Henrique_da_Costa_Mecking
Menchik, Vera|Vera_Menchik
Messa, Roberto|Roberto_Messa
Metger, Johannes|Johannes_Metger
Michail Ivanovic Cigorin|Michail_Ivanovi%C4%8D_%C4%8Cigorin
Micheli, Carlo|Carlo_Micheli
Mieses, Jacques|Jacques_Mieses
Mihalcisin, Adrian|Adrian_Mihal%C4%8Di%C5%A1in
Miladinov, Igor|Igor_Miladinovi%C4%87
Miles, Tony|Tony_Miles
Miliani, Luigi|Luigi_Miliani
Milov, Vadim|Vadim_Milov
Minasjan, Artases|Arta%C5%A1es_Minasjan
Monticelli, Mario|Mario_Monticelli
Morozevic, Alexander|Aleksandr_Sergeevi%C4%8D_Morozevi%C4%8D
Morozevich, Alexander|Alexander_Morozevich
Morphy, Paul|Paul_Morphy
Motylev, Alexander|Aleksandr_Anatol%27evi%C4%8D_Motyl%C3%ABv
Movsesian, Sergei|Sergei_Movsesian
Musolino, Paolo|Paolo_Musolino
Nadezda Anatol'evna Kosinceva|Nade%C5%BEda_Anatol%27evna_Kosinceva
Naiditsch, Arkadij|Arkadij_Naiditsch
Najdorf, Miguel|Miguel_Najdorf
Najer, Evgeniy|Evgenij_Najer
Nakamura, Hikaru|Hikaru_Nakamura
Napolitano, Mario|Mario_Napolitano
Nardo, Giulio De|Giulio_De_Nardo
Navara, David|David_Navara
Negi, Parimarjan|Parimarjan_Negi
Nepomnjaij, Jan|Jan_Nepomnjaij
Nestler, Vincenzo|Vincenzo_Nestler
Neumann, Gustav|Gustav_Neumann
Nikolic, Predrag|Predrag_Nikoli%C4%87
Nimzowitsch, Aaron|Aaron_Nimzowitsch
Nisipeanu, Liviu Dieter|Liviu_Dieter_Nisipeanu
Nogueiras, Jesus|Jesus_Nogueiras
Norcia, Federico|Federico_Norcia
Nunn, John|John_Nunn
Olafsson, Fridrik|Friðrik_Ólafsson
Onischuk, Alexander|Aleksandr_Oni%C5%A1%C4%8Duk
Oosterom, Joop van|Joop_van_Oosterom
Ortega, Lexy|Lexy_Ortega
Owen, John|John_Owen
Pachman, Ludek|Lud%C4%9Bk_Pachman
Paehtz, Elisabeth|Elisabeth_P%C3%A4htz
Palermo, Carlos Garcia|Carlos_Garcia_Palermo
Palmiotto, Fiorentino|Fiorentino_Palmiotto
Panno, Oscar|Oscar_Panno
Paoli, Enrico|Enrico_Paoli
Parma, Bruno|Bruno_Parma
Pasqua, Dante|Dante_Pasqua
Paulsen, Louis|Louis_Paulsen
Pelletier, Yannick|Yannick_Pelletier
Pengxiang, Zhang|Zhang_Pengxiang
Penrose, Jonathan|Jonathan_Penrose
Pernici, Barbara|Barbara_Pernici
Peters, John|John_Peters
Petrosian, Tigran|Tigran_Petrosian
Petrosjan, Tigran Vartanovic|Tigran_Vartanovi%C4%8D_Petrosjan
Petrov, Aleksandr Dmitrievi|Aleksandr_Dmitrievi_Petrov
Petursson, Margeir|Margeir_Pétursson
Philidor, Francois-Andre Danican|François-André_Danican_Philidor
Philidor, François-Andre Danican|François-André_Danican_Philidor
Piket, Jeroen|Jeroen_Piket
Pillsbury, Harry Nelson|Harry_Nelson_Pillsbury
Pillsbury, Harry|Harry_Pillsbury
Pirc, Vasja|Vasja_Pirc
Pirrone, Santi|Santi_Pirrone
Pogonina, Natalija|Natal'ja_Andreevna_Pogonina
Polerio, Giulio Cesare|Giulio_Cesare_Polerio
Polerio, Giulio|Giulio_Polerio
Polgar, Zsuzsa|Zsuzsa_Polg%C3%A1r
Ponzetto, Pietro|Pietro_Ponzetto
Ponziani, Domenico Lorenzo|Domenico_Lorenzo_Ponziani
Porreca, Giorgio|Giorgio_Porreca
Postpischl, Domenico|Domenico_Postpischl
Primavera, Giuseppe|Giuseppe_Primavera
Primavera, Roberto|Roberto_Primavera
Przepiórka, Dawid|Dawid_Przepiórka
Psachis, Lev Borisovic|Lev_Borisovi%C4%8D_Psachis
Quezada, Yuniesky|Yuniesky_Quezada
Rabinovi, Il'ja Leont'evi|l%27ja_Leont%27evi%C4%8D_Rabinovi%C4%8D
Rachels, Stuart|Stuart_Rachels
Radzabov, Tejmur|Tejmur_Rad%C5%BEabov
Rajlich, Iweta|Iweta_Rajlich
Rajlich, Vasik|Vasik_Rajlich
Ramírez, Alejandro|Alejandro_Ramírez
Ranniku, Maaja|Maaja_Ranniku
Rashkovsky, Nukhim N|Nukhim_Rashkovsky
Ratmir Dmitrievic Cholmov|Ratmir_Dmitrievi%C4%8D_Cholmov
Ravarini, Romolo|Romolo_Ravarini
Razuvaev, Yuri S|Jurij_Sergeevi_Razuvaev
Regedzinski, Teodor|Teodor_Regedzi%C5%84ski
Reggio, Arturo|Arturo_Reggio
Repetto, Carlos Torre|Carlos_Torre_Repetto
Reshevsky, Samuel|Samuel_Reshevsky
Reti, Richard|Richard_Reti
Riazantsev, Alexander|Aleksandr_Rjazancev_(scacchista)
Ricardi, Pablo|Pablo_Ricardi
Riccio, Eros|Eros_Riccio
Richter, Kurt|Kurt_Richter
Riegler, Alessandra|Alessandra_Riegler
Rio, Ercole Del|Ercole_Del_Rio
Robson, Ray|Ray_Robson
Rodshtein, Maxim|Maxim_Rodshtein
Romani, Elio|Elio_Romani
Romanovskij. Pëtr Arsen'evi|P%C3%ABtr_Arsen%27evi%C4%8D_Romanovskij
Rombaldoni, Denis|Denis_Rombaldoni
Romih, Max|Max_Romih
Ronchetti, Niccolo|Niccolò_Ronchetti
Rongguang, Ye|Ye_Rongguang
Rosenthal, Samuel|Samuel_Rosenthal
Rosino, Antonio|Antonio_Rosino
Rossetto, Hector|Héctor_Rossetto
Rossolimo, Nicolas|Nicolas_Rossolimo
Rozentalis, Eduardas|Eduardas_Rozentalis
Rubinstein, Akiba|Akiba_Rubinstein
Rublevsky, Sergei|Sergej_Vladimirovi%C4%8D_Rubl%C3%ABvskij
Rueb, Alexander|Alexander_Rueb
Réti, Richard|Richard_Réti
Sacconi, Antonio|Antonio_Sacconi
Saemisch, Friedrich|Friedrich_S%C3%A4misch
Safarli, El'tadz|El%27tad%C5%BE_Safarli
Saint-Amant, Pierre Charles Fournier de|Pierre_Charles_Fournier_de_Saint-Amant
Sakaev, Konstantin|Kostantin_Rufovi%C4%8D_Sakaev
Salov, Valeri|Valerij_Borisovi%C4%8D_Salov
Salvio, Alessandro|Alessandro_Salvio
Salvioli, Carlo|Carlo_Salvioli
Sanguinetti, Raul Carlos|Raúl_Carlos_Sanguinetti
Sarapu, Ortvin|Ortvin_Sarapu
Sargissian, Gabriel|Gabriel_Sargissian
Sasikiran, Krishnan|Krishnan_Sasikiran
Scafarelli, Francesco|Francesco_Scafarelli
Scaletta, Macalda di|Macalda_di_Scaletta
Schiffers, Emanuel|Emanuel_Schiffers
Schlechter, Carl|Carl_Schlechter
Schulman, Mark|Jurij_%C5%A0ul%27man
Sebag, Marie|Marie_Sebag
Sedina, Elena|Elena_Sedina
Segura, Ruy López de|Ruy_López_de_Segura
Seirawan, Yasser|Yasser_Seirawan
Seni, Pietro|Pietro_Seni
Sergej Viktorov Dolmatov|Sergej_Viktorovi%C4%8D_Dolmatov
Shabalov, Alexander|Alexander_Shabalov
Shengelia, Davit|Davit_Shengelia
Shilong, Li|Li_Shilong
Shirov, Alexei|Aleksej_Dmitrevi%C4%8D_%C5%A0irov
Short, Nigel|Nigel_Short
Showalter, Jackson|Jackson_Showalter
Shumov, Ilya|Il%27ja_Stepanovi%C4%8D_%C5%A0umov
Silli, Armando|Armando_Silli
Sjugirov, Sanan|Sanan_Vja%C4%8Deslavovi%C4%8D_Sjugirov
Smagin, Sergey|Sergej_Smagin
Smirin, Ilia Jul'evic|Ilia_Jul%27evi%C4%8D_Smirin
Smyslov, Vasilij|Vasilij_Smyslov
Smyslov, Vasily|Vasilij_Vasil%27evi%C4%8D_Smyslov
So, Wesley|Wesley_So
Socko, Monika|Monika_So%C4%87ko
Sokolov, Ivan|Ivan_Sokolov
Solozhenkin, Evgeniy|Evgenij_Solo%C5%BEenkin
Spasskij, Boris Vasil'evic|Boris_Vasil%27evi%C4%8D_Spasskij
Spasskij, Boris Vasil'evi|Boris_Vasil'evi_Spasskij
Spassky, Boris V|Boris_Vasil%27evi%C4%8D_Spasskij
Spassky, Boris|Boris_Spassky
Speelman, Jonathan|Jonathan_Speelman
Spielmann, Rudolf|Rudolf_Spielmann
Sprega, Luigi|Luigi_Sprega
Stahlberg, Gideon|Gideon_St%C3%A5hlberg
Staldi, Cherubino|Cherubino_Staldi
Stamma, Philip|Philip_Stamma
Stanley, Charles|Charles_Stanley
Staunton, Howard|Howard_Staunton
Stefanova, Antoaneta|Antoaneta_Stefanova
Steiner, Herman|Herman_Steiner
Steinitz, Wilhelm|Wilhelm_Steinitz
Sterren, Paul van der|Paul_van_der_Sterren
Suetin, Alexey S|Aleksej_Stepanovi%C4%8D_Suetin
Sul'man, Jurij|Jurij_%C5%A0ul%27man
Sutovskij, Emil|Emil_Sutovskij
Svesnikov, Evgenij Ellinovic|Evgenij_Ellinovi%C4%8D_Sve%C5%A1nikov
Svidler, Peter|P%C3%ABtr_Veniaminovi%C4%8D_Svidler
Szabados, Eugenio|Eugenio_Szabados
Taimanov, Mark|Mark_Taimanov
Tal, Mikhail|Michail_Nechem%27evi%C4%8D_Tal%27
Tal, Mikhail|Mikhail_Tal
Tarjan, James|James_Tarjan
Tarrasch, Siegbert|Siegbert_Tarrasch
Tartakover, Savieli|Savieli_Tartakover
Tartakower, Savielly|Savielly_Tartakower
Tatai, Stefano|Stefano_Tatai
Teichmann, Richard|Richard_Teichmann
Teschner, Rudolf|Rudolf_Teschner
Timman, Jan|Jan_Timman
Tiviakov, Sergei|Sergej_Nikolaevi%C4%8D_Tivjakov
Tivjakov, Sergej Nikolaevi|Sergej_Nikolaevi_Tivjakov
Tkacev, Vladislav|Vladislav_Tka%C4%8D%C3%ABv
Tomashevsky, Evgeny|Evgenij_Jur%27evi%C4%8D_Toma%C5%A1evskij
Topalov, Veselin|Veselin_Topalov
Torre, Vittorio|Vittorio_Torre
Traxler, Karel|Karel_Traxler
Trifunovic, Petar|Petar_Trifunovi%C4%87
Turco, Stefano Rosselli del|Stefano_Rosselli_del_Turco
Uhlmann, Wolfgang|Wolfgang_Uhlmann
Ulvestad, Olav|Olav_Ulvestad
Unzicker, Wolfgang|Wolfgang_Unzicker
Vachier-Lagrave, Maxime|Maxime_Vachier-Lagrave
Vaganjan, Rafael Artemovic|Rafael_Art%C3%ABmovi%C4%8D_Vaganjan
Vaisser, Anatoly|Anatoly_Vaisser
Vallejo Pons, Francisco|Francisco_Vallejo_Pons
Vecchio, Lucio Del|Lucio_Del_Vecchio
Vergani, Beniamino|Beniamino_Vergani
Vidmar, Milan|Milan_Vidmar
Vitalij Valerianovic Ceskovskij|Vitalij_Valerianovi%C4%8D_Ce%C5%A1kovskij
Vitiugov, Nikita|Nikita_Kirillovi%C4%8D_Vitjugov
Vladimir Borisovic Kramnik|Vladimir_Borisovi%C4%8D_Kramnik
Vladimir Nail'evic Malachov|Vladimir_Nail%27evi%C4%8D_Malachov
Vladimir Sergeevic Episin|Vladimir_Sergeevi%C4%8D_Epi%C5%A1in
Vocaturo, Daniele|Daniele_Vocaturo
Von Kolisch, Ignatz|Ignatz_von_Kolisch
Vukcevic, Milan R|Milan_Vuk%C4%8Devi%C4%87
Vukevic, Milan|Milan_Vuk%C4%8Devi%C4%87
Waitzkin, Joshua|Joshua_Waitzkin
Walbrodt, Carl|Carl_Walbrodt
Wang, Hao|Wang_Hao_(scacchista)
Weiss, Max|Max_Weiss
Wely, Loek van|Loek_van_Wely
Wiel, John van der|John_van_der_Wiel
Winawer, Simon|Simon_Winawer
Wojtkiewicz, Aleksander|Aleksander_Wojtkiewicz
Wolff, Patrick|Patrick_Wolff
Wyvill, Marmaduke|Marmaduke_Wyvill
Xiangzhi, Bu|Bu_Xiangzhi
Xue, Zhao|Zhao_Xue
Yang, Shen|Shen_Yang
Yates, Frederick|Frederick_Yates
Yifan, Hou|Hou_Yifan
Yudasin, Leonid|Leoonid_Grigor%27evi%C4%8D_Judasin
Yue, Wang|Wang_Yue
Yuhua, Xu|Xu_Yuhua
